# ECE/IC 领域自定义词典
# 格式：词语 词频 词性（词频越高越优先）

# ── 科研方向名称 ────────────────────────────────────────────
光计算 1000 n
光子计算 1000 n
硅光子 1000 n
光电集成 1000 n
存算一体 1000 n
可重构计算 1000 n
神经形态计算 1000 n
神经形态 1000 n
量子计算 1000 n
量子芯片 1000 n
脑机接口 1000 n
具身智能 1000 n
设计自动化 1000 n
处理器架构 1000 n
计算芯片 1000 n
异构集成 1000 n
先进制程 1000 n
功率半导体 1000 n
宽禁带器件 1000 n

# ── 电路与器件 ──────────────────────────────────────────────
射频集成电路 1000 n
模拟集成电路 1000 n
数字集成电路 1000 n
模拟电路 800 n
数字电路 800 n
混合信号 800 n
模拟混合信号 1000 n
宽禁带 800 n
半导体器件 800 n
功率器件 800 n
深度学习 1000 n
机器学习 1000 n
大语言模型 1000 n
语言模型 800 n
神经网络 800 n
深度神经网络 800 n
卷积神经网络 800 n
强化学习 800 n
迁移学习 800 n
图神经网络 800 n
生成对抗网络 800 n

# ── EDA / 工具 ──────────────────────────────────────────────
电子设计自动化 1000 n
物理验证 800 n
形式验证 800 n
静态时序分析 800 n
逻辑综合 800 n
布局布线 800 n
版图设计 800 n
时序分析 800 n

# ── 体系结构 ────────────────────────────────────────────────
指令集架构 1000 n
流水线 800 n
超标量 800 n
乱序执行 800 n
分支预测 800 n
缓存一致性 800 n
内存一致性 800 n
片上网络 800 n
存内计算 1000 n
近存计算 1000 n

# ── 制程 / 工艺 ─────────────────────────────────────────────
先进制程 1000 n
三维集成 800 n
异质集成 800 n
晶圆键合 800 n
硅通孔 800 n
后道工艺 800 n
前道工艺 800 n
化学机械平坦化 800 n
原子层沉积 800 n
极紫外光刻 800 n

# ── 学校与机构 ──────────────────────────────────────────────
复旦大学 1000 n
清华大学 1000 n
北京大学 1000 n
上海交通大学 1000 n
中国科学技术大学 1000 n
浙江大学 1000 n
香港大学 800 n
香港科技大学 800 n
香港中文大学 800 n
麻省理工学院 800 n
斯坦福大学 800 n
加州大学伯克利分校 800 n
卡内基梅隆大学 800 n
